,Fi
1021,-0.01507
1022,0.00388
1023,0.03675
1024,0.04569
1025,0.00042
1026,-0.02675
1027,-0.03431
1028,-0.02960
1029,-0.02487
1030,-0.00964
1031,-0.00990
1032,-0.01263
1033,-0.01152
1034,0.00305
1035,0.00212
1036,0.02885
1037,0.03465
1038,0.03702
1039,0.02903
1040,0.04640
1041,0.03540
1042,0.03929
1043,0.05675
1044,0.05661
1045,-0.00487
1046,-0.00382
1047,-0.00640
1048,-0.00673
1049,-0.00374
1050,-0.00569
1051,0.01711
1052,0.01206
1053,0.01017
1054,-0.00514
1055,-0.00407
1056,-0.00655
1057,-0.00808
1058,-0.00593
1059,0.02160
1060,0.03635
1061,0.03430
1062,0.02786
1063,0.02473
1064,0.02132
1065,-0.00217
1066,-0.00348
1067,-0.00268
1068,-0.00181
1069,0.02022
1070,0.02400
1071,0.02091
1072,0.04459
1073,-0.00157
1074,-0.00182
1075,-0.00112
1076,-0.01036
1077,-0.00805
1078,-0.00789
1079,-0.01117
1080,-0.00125
1081,-0.00104
1082,-0.00074
1083,-0.00066
1084,-0.02194
1085,-0.01610
1086,-0.01518
1087,0.04436
1088,0.04088
1089,0.03405
1090,0.04069
1091,0.05513
1092,-0.02837
1093,-0.03562
1094,-0.03259
1095,-0.04483
1096,0.00298
1097,0.00524
1098,0.00300
1099,0.00128
1100,0.01223
1101,0.01327
1102,0.01682
1103,0.01795
1104,0.01302
1105,0.00759
1106,0.01006
1107,0.00514
1108,0.00521
1109,0.00841
1110,0.00748
1111,-0.00070
1112,-0.00055
1113,-0.00086
1114,-0.00122
1115,-0.00085
1116,-0.00117
1117,-0.00053
1118,-0.00172
1119,-0.00152
1120,0.01094
1121,-0.00404
1122,-0.00235
1123,0.01739
1124,-0.00191
1125,-0.00131
1126,-0.00159
1127,0.01411
1128,0.00106
1129,0.00163
1130,0.00248
1131,-0.00337
1132,-0.00280
1133,-0.00236
1134,-0.00335
1135,0.01361
1136,0.01073
1137,0.01325
1138,0.01866
1139,-0.00470
1140,-0.02726
1141,-0.03375
1142,-0.03215
1143,-0.04136
1144,0.00113
1145,0.00177
1146,-0.00445
1147,-0.00030
1148,-0.00180
1149,-0.00235
1150,-0.00307
1151,0.00915
1152,0.00776
1153,0.04038
1154,0.03625
1155,0.03098
1156,0.03757
1157,-0.00490
1158,0.00561
1159,0.00398
1160,0.00821
1161,0.01501
1162,0.01206
1163,0.01604
1164,0.02041
1165,-0.01068
1166,-0.00699
1167,-0.00825
1168,-0.00618
1169,0.02637
1170,0.01929
1171,0.02138
1172,0.03191
1173,0.00211
1174,0.00271
1175,0.00187
1176,0.00125
1177,0.00128
1178,0.00649
1179,0.00507
1180,-0.00418
1181,-0.00563
1182,-0.00600
1183,0.01644
1184,-0.00086
1185,-0.03853
1186,-0.03003
1187,-0.03982
1188,-0.03137
1189,-0.00148
1190,-0.00084
1191,-0.00440
1192,-0.00363
1193,-0.00596
1194,-0.01360
1195,-0.00986
1196,0.00437
1197,0.00295
1198,0.00209
1199,0.00119
1200,-0.00912
1201,-0.01192
1202,0.00147
1203,0.00113
1204,0.00034
1205,-0.00036
